dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,random_forest       ,0.9241379310344827 ,0.8035714285714287   ,0.6716417910447762  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,knn                 ,0.9310344827586207 ,0.7999999999999999   ,0.7272727272727273  ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,tree                ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,naive_bayes         ,0.6206896551724138 ,0.45000000000000007  ,0.2903225806451613  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,logistic_regression ,0.8448275862068966 ,0.64                 ,0.5                 ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,neural_network      ,0.8517241379310345 ,0.6766917293233083   ,0.5113636363636364  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,gradient_boosting   ,0.9103448275862069 ,0.7758620689655172   ,0.6338028169014085  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,holdout (33/67)           ,anova (10)        ,svm                 ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,grades_between_0_2_5                   ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,random_forest       ,0.8181818181818182 ,0.34426229508196726  ,0.40384615384615385 ,0.3                  ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,tree                ,0.8181818181818182 ,0.30434782608695654  ,0.3888888888888889  ,0.25                 ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,logistic_regression ,0.8579545454545454 ,0.5762711864406779   ,0.5483870967741935  ,0.6071428571428571   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,neural_network      ,0.8159090909090909 ,0.22115384615384617  ,0.3382352941176471  ,0.16428571428571428  ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,gradient_boosting   ,0.8                ,0.36                 ,0.36666666666666664 ,0.3535714285714286   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (5)          ,svm                 ,0.8181818181818182 ,-1.0                 ,0.0                 ,0.0                  ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,random_forest       ,0.828135593220339  ,0.4049295774647888   ,0.46184738955823296 ,0.3605015673981191   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,knn                 ,0.8079661016949152 ,0.3957333333333334   ,0.39636752136752135 ,0.3951011714589989   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,tree                ,0.8332203389830508 ,0.4218566392479436   ,0.4825268817204301  ,0.3747390396659708   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,naive_bayes         ,0.7983050847457627 ,0.5719424460431654   ,0.43136190992946283 ,0.848452508004269    ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
